x	y	line_id
53.875	140.119	0082-0122
53.787	140.166	0082-0122
53.698	140.213	0082-0122
53.610	140.259	0082-0122
53.522	140.306	0082-0122
53.433	140.353	0082-0122
53.345	140.399	0082-0122
53.256	140.446	0082-0122
53.168	140.493	0082-0122
53.079	140.539	0082-0122
52.991	140.586	0082-0122
52.902	140.633	0082-0122
52.814	140.679	0082-0122
52.726	140.726	0082-0122
52.637	140.773	0082-0122
52.549	140.819	0082-0122
52.451	140.843	0082-0122
52.352	140.852	0082-0122
52.252	140.861	0082-0122
52.153	140.870	0082-0122
52.053	140.879	0082-0122
51.954	140.888	0082-0122
51.854	140.897	0082-0122
51.754	140.906	0082-0122
51.655	140.915	0082-0122
51.555	140.924	0082-0122
51.456	140.933	0082-0122
51.356	140.942	0082-0122
51.256	140.951	0082-0122
51.157	140.961	0082-0122
51.057	140.970	0082-0122
50.958	140.979	0082-0122
50.858	140.988	0082-0122
50.758	140.997	0082-0122
50.659	141.006	0082-0122
50.559	141.015	0082-0122
50.460	141.024	0082-0122
50.360	141.033	0082-0122
50.261	141.042	0082-0122
50.161	141.051	0082-0122
50.061	141.060	0082-0122
49.962	141.069	0082-0122
49.862	141.078	0082-0122
49.763	141.087	0082-0122
49.663	141.096	0082-0122
49.563	141.105	0082-0122
49.464	141.114	0082-0122
49.364	141.123	0082-0122
49.265	141.133	0082-0122
49.165	141.142	0082-0122
49.065	141.151	0082-0122
48.966	141.160	0082-0122
48.866	141.169	0082-0122
48.767	141.178	0082-0122
48.667	141.187	0082-0122
48.568	141.196	0082-0122
48.468	141.205	0082-0122
48.368	141.214	0082-0122
48.269	141.223	0082-0122
48.169	141.232	0082-0122
48.070	141.241	0082-0122
47.970	141.250	0082-0122
47.870	141.259	0082-0122
47.771	141.268	0082-0122
47.681	141.312	0082-0122
47.597	141.367	0082-0122
47.514	141.422	0082-0122
47.431	141.478	0082-0122
47.348	141.533	0082-0122
47.265	141.589	0082-0122
47.181	141.644	0082-0122
47.098	141.700	0082-0122
47.015	141.755	0082-0122
46.932	141.811	0082-0122
46.849	141.866	0082-0122
46.765	141.922	0082-0122
46.682	141.977	0082-0122
46.599	142.033	0082-0122
46.516	142.088	0082-0122
46.433	142.144	0082-0122
46.349	142.199	0082-0122
46.266	142.255	0082-0122
46.183	142.310	0082-0122
46.100	142.365	0082-0122
46.016	142.421	0082-0122
45.933	142.476	0082-0122
45.850	142.532	0082-0122
45.767	142.587	0082-0122
45.684	142.643	0082-0122
45.600	142.698	0082-0122
45.517	142.754	0082-0122
45.434	142.809	0082-0122
45.351	142.865	0082-0122
45.268	142.920	0082-0122
45.184	142.976	0082-0122
45.101	143.031	0082-0122
45.018	143.087	0082-0122
44.935	143.142	0082-0122
44.852	143.198	0082-0122
44.768	143.253	0082-0122
44.685	143.308	0082-0122
44.602	143.364	0082-0122
44.519	143.419	0082-0122
44.436	143.475	0082-0122
44.352	143.530	0082-0122
44.269	143.586	0082-0122
44.173	143.612	0082-0122
44.076	143.639	0082-0122
43.980	143.666	0082-0122
43.884	143.692	0082-0122
43.787	143.719	0082-0122
